gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,rare_newK
202,-477,50.625,-119.125,23,2,90.25,4,2,True,0.04120082815734989,0.034482758620689655,0.03784179338901977,0.05238095238095238,0.5,
202,-472,50.625,-117.875,1,6,0.0,1,1,True,1.0,0.1724137931034483,0.5862068965517242,0.0,1.0,
202,-465,50.625,-116.125,4,7,2.0,31,20,True,0.24821428571428572,0.20689655172413793,0.2275554187192118,0.007142857142857143,0.6451612903225806,4.44
202,-461,50.625,-115.125,13,1,78.0,13,6,True,0.07472527472527474,0.0,0.03736263736263737,0.02857142857142857,0.46153846153846156,2.315
202,-458,50.625,-114.375,2,5,1.0,2,2,True,0.4988095238095238,0.13793103448275862,0.31837027914614124,0.002380952380952381,1.0,
202,-457,50.625,-114.125,13,4,18.0,4,4,True,0.07472527472527474,0.10344827586206896,0.08908677529367184,0.02857142857142857,1.0,
203,-517,50.875,-129.125,44,9,0.6666666666666661,3,0,True,0.0204004329004329,0.27586206896551724,0.14813125093297508,0.10238095238095238,0.0,
203,-516,50.875,-128.875,15,9,18.0,1,0,True,0.06444444444444444,0.27586206896551724,0.17015325670498083,0.03333333333333333,0.0,
203,-515,50.875,-128.625,4,9,2.0,0,0,False,0.24821428571428572,0.27586206896551724,0.2620381773399015,0.007142857142857143,,
203,-513,50.875,-128.125,24,9,12.5,6,4,True,0.039384920634920634,0.27586206896551724,0.15762349480021892,0.05476190476190476,0.6666666666666666,3.475
